"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","Firefox Version","Default Browser","Search Engine","Sync Setup","Shield ID","Branch","Why did you uninstall the Firefox Private Network?","Other:Why did you uninstall the Firefox Private Network?","What sort of problems did you have with Firefox Private Network?","Other:What sort of problems did you have with Firefox Private Network?"
"1149","Oct 22, 2019 5:34:44 am","Oct 22, 2019 5:35:30 am","Complete","","","English","","1571747684_5daef76442aff2.11336381","","","","","","","","","Other","it slows down my connection to the point where it is useless.  too many timeouts","",""
"1150","Oct 22, 2019 8:00:42 am","Oct 22, 2019 8:01:10 am","Complete","","","English","","1571756442_5daf199a899924.50510594","","","","","","","","","Other","It's blocked on my corporate network","",""
"1151","Oct 22, 2019 8:28:04 am","Oct 22, 2019 8:28:22 am","Partial","","","French","","1571758084_5daf2004c6f6b3.52488646","","","","","","","","","It was not working correctly","","Other",""
"1152","Oct 22, 2019 8:42:49 am","Oct 22, 2019 8:43:02 am","Complete","","","English","","1571758969_5daf2379a4e138.08968279","","","","","","","","","I no longer wanted it","","",""
"1153","Oct 22, 2019 11:57:31 am","Oct 22, 2019 11:57:46 am","Complete","","","English","","1571770651_5daf511b080ad4.09987948","","","","","","","","","I no longer wanted it","","",""
"1154","Oct 22, 2019 12:47:57 pm","Oct 22, 2019 12:49:01 pm","Complete","","","English","","1571773677_5daf5ced8003e2.72616643","","","","","","","","","It was not working correctly","","It slowed my network speeds",""
"1155","Oct 22, 2019 1:45:15 pm","Oct 22, 2019 1:45:58 pm","Complete","","","English","","1571777115_5daf6a5b295057.96248842","","","","","","","","","I no longer wanted it","","",""
"1156","Oct 22, 2019 3:34:41 pm","Oct 22, 2019 3:35:35 pm","Complete","","","English","","1571783680_5daf8400da36d5.52151204","","","","","","","","","I no longer wanted it","","",""
"1157","Oct 22, 2019 3:39:19 pm","Oct 22, 2019 3:39:27 pm","Complete","","","English","","1571783959_5daf851780bbe9.99637475","","","","","","","","","I'm going to re-install","","",""
"1158","Oct 22, 2019 6:05:13 pm","Oct 22, 2019 6:06:19 pm","Complete","","","English","","1571792713_5dafa7494244c7.99653342","","","","","","","","","I no longer wanted it","","",""
"1159","Oct 22, 2019 9:45:26 pm","Oct 22, 2019 9:45:49 pm","Complete","","","English","","1571805926_5dafdae65d3a29.36223994","","","","","","","","","It was not working correctly","","It caused crashes in Firefox",""
"1160","Oct 23, 2019 4:08:57 am","Oct 23, 2019 6:37:24 am","Complete","","","English","","1571828937_5db034c9984953.08176632","","","","","","","","","I no longer wanted it","","",""
"1161","Oct 23, 2019 10:01:09 am","Oct 23, 2019 10:01:18 am","Complete","","","English","","1571850069_5db087555529a9.92469295","","","","","","","","","It was not working correctly","","It slowed my network speeds",""
"1162","Oct 23, 2019 10:28:15 am","Oct 23, 2019 10:28:56 am","Complete","","","English","","1571851694_5db08daedf08b9.52781508","","","","","","","","","I'm going to re-install","","",""
"1163","Oct 23, 2019 10:40:43 am","Oct 23, 2019 10:41:03 am","Complete","","","English","","1571852443_5db0909b98e950.04322041","","","","","","","","","It was not working correctly","","Other","It wouldn't work"
"1164","Oct 23, 2019 11:20:46 am","Oct 23, 2019 11:20:52 am","Complete","","","English","","1571854846_5db099fe1998c8.24556426","","","","","","","","","I no longer wanted it","","",""
"1165","Oct 23, 2019 11:40:57 am","Oct 23, 2019 11:41:14 am","Complete","","","English","","1571856057_5db09eb90e6476.06161559","","","","","","","","","Other","didn't know I had to sign in to use it.","",""
"1166","Oct 23, 2019 1:50:50 pm","Oct 23, 2019 1:51:33 pm","Complete","","","English","","1571863850_5db0bd2abc2009.20530188","","","","","","","","","I'm going to re-install","","",""
"1167","Oct 23, 2019 2:01:25 pm","Oct 23, 2019 2:02:03 pm","Complete","","","English","","1571864485_5db0bfa5afa690.80927484","","","","","","","","","Other","i dont wanna mozilla/firefox account to use this extension, make it no-need-to-login","",""
"1168","Oct 23, 2019 2:54:21 pm","Oct 23, 2019 2:55:29 pm","Complete","","","English","","1571867661_5db0cc0d464e46.74304354","","","","","","","","","It was not working correctly","","Other","I could not load any pages."
